VideoId,Classifier Label,Manual Label,Title,
https://www.youtube.com/watch?v=AKxQ3zsuWWY,f,b,Make Money With Youtube - Earn More From Adsense With High Payout Keywords,"desc: See how to find keywords with high Adsense payout, earnings you more money per click."
https://www.youtube.com/watch?v=BUOMaGpjTxs,f,b,How To Make Money With Adfly | Make Money With Adfly 2018,"url shorten, adds ad so earn"
https://www.youtube.com/watch?v=x5RVg5kM2uw,f,u,Online earning bangla part-3-2 how to open an adsense account,
https://www.youtube.com/watch?v=GBBvw9IOhDA,f,f,EARN free paytm cash with yo lotto app,
https://www.youtube.com/watch?v=d26bNRJ8Atk,f,f,Make Money Online easily with ultrainvests.com | Urdu-Hindi,
https://www.youtube.com/watch?v=knfWVTrt7x4,f,u,Neobux Earning Hack Strategy,
https://www.youtube.com/watch?v=KN8X5IU-Ruc,f,f,iCenter Bots update - and other Telegram bots - Sep 2018,
https://www.youtube.com/watch?v=Z-jqd2ov5eg,f,b,Free Surveys For Cash  Best Paid Surveys For Money,surveys legit
https://www.youtube.com/watch?v=D7W9dzJ5S7E,f,b,Make $200 a day! simple online copy paste project work world wide,copy/paste legit
https://www.youtube.com/watch?v=x27Hxj4AZDQ,f,f,Earn Free Bitcoin From Your Mobile Phone - Free BTC Earning App - Live Withdraw Proof,
https://www.youtube.com/watch?v=Bd_KdEp5igg,f,b,Online Job - Earn Money Just By Shortening URL | Adf.ly,
https://www.youtube.com/watch?v=MLlNK5NXzgE,f,f,How to earn money easily easypaisa jazzcash Real income,
https://www.youtube.com/watch?v=09RHWkmy950,f,f,How To get High cpc in admob 250$ perday with paid app,
https://www.youtube.com/watch?v=AZyltjsXWBc,f,b,Top 5 Best Easy Ways To Earn Money Online India /Hindi,
https://www.youtube.com/watch?v=sdm4BImuStA,f,b,Top 5 Survey Websites in India | PTC Websites | Work from Home | Earn Money Online,legit but mentions ptc 
https://www.youtube.com/watch?v=OOSZclIKXkw,f,f,Clixsense Bangla Tutorial - Earn Money Clixsense $1 - $5 Par Day,
https://www.youtube.com/watch?v=yqvd8mlgBvQ,f,b,[English] Rajmudra Coin - Indian Coin - Cryptocurrency - Earn Online 2017,
https://www.youtube.com/watch?v=bv0xF84BSHo,f,f,neobux bangla tutorial | online income source | best ptc sites | bangla tutorial,
https://www.youtube.com/watch?v=VrCYSfTpEAE,f,b,How to earn money in online/url shortener/Tamil,
https://www.youtube.com/watch?v=LFeiy5ctEFQ,f,f,Best Url Shortener to Earn Money in hindi 2018 | Highest Payout || 2018 (Hindi Video),
https://www.youtube.com/watch?v=zzf4tD_bYgY,f,f,Earn   Withdraw Bitcoin and Coinbase,
,,,,
,,,,
Total Benign:,40,,,
Total Fraudulent:,40,,,
